"LID","VPolyagreement.Presence.v2","VPolyagreement.Presence.v1"
6,FALSE,FALSE
7,TRUE,TRUE
9,TRUE,FALSE
10,TRUE,TRUE
12,TRUE,TRUE
14,TRUE,FALSE
20,TRUE,TRUE
22,TRUE,TRUE
26,TRUE,TRUE
27,TRUE,FALSE
28,FALSE,FALSE
32,TRUE,TRUE
33,FALSE,FALSE
34,TRUE,FALSE
35,TRUE,TRUE
39,FALSE,FALSE
40,TRUE,TRUE
43,FALSE,FALSE
44,FALSE,FALSE
47,TRUE,FALSE
48,FALSE,FALSE
50,TRUE,TRUE
53,TRUE,TRUE
55,TRUE,TRUE
56,TRUE,TRUE
59,TRUE,TRUE
61,TRUE,TRUE
63,TRUE,TRUE
64,FALSE,FALSE
65,FALSE,FALSE
66,FALSE,FALSE
68,TRUE,TRUE
69,FALSE,FALSE
71,FALSE,FALSE
72,FALSE,FALSE
74,FALSE,FALSE
75,FALSE,FALSE
77,TRUE,TRUE
78,FALSE,FALSE
79,TRUE,FALSE
80,TRUE,FALSE
81,FALSE,FALSE
84,FALSE,FALSE
86,TRUE,TRUE
87,FALSE,FALSE
89,TRUE,TRUE
91,TRUE,FALSE
92,FALSE,FALSE
93,TRUE,TRUE
95,FALSE,FALSE
98,TRUE,TRUE
99,FALSE,FALSE
101,TRUE,TRUE
103,TRUE,TRUE
104,TRUE,TRUE
106,FALSE,FALSE
107,TRUE,FALSE
109,FALSE,FALSE
110,FALSE,FALSE
111,FALSE,FALSE
112,TRUE,TRUE
113,TRUE,TRUE
114,FALSE,FALSE
118,FALSE,FALSE
123,TRUE,TRUE
125,TRUE,TRUE
126,TRUE,TRUE
128,FALSE,FALSE
129,TRUE,TRUE
130,FALSE,FALSE
131,FALSE,FALSE
132,TRUE,TRUE
133,FALSE,FALSE
134,TRUE,TRUE
135,TRUE,TRUE
136,FALSE,FALSE
138,FALSE,FALSE
141,FALSE,FALSE
146,FALSE,FALSE
147,TRUE,FALSE
148,FALSE,FALSE
149,TRUE,TRUE
150,TRUE,TRUE
154,TRUE,TRUE
156,TRUE,TRUE
157,FALSE,FALSE
159,TRUE,FALSE
162,FALSE,FALSE
163,FALSE,FALSE
165,TRUE,FALSE
167,TRUE,FALSE
168,FALSE,FALSE
169,TRUE,TRUE
170,TRUE,TRUE
171,FALSE,FALSE
173,TRUE,TRUE
175,FALSE,FALSE
176,TRUE,FALSE
177,TRUE,FALSE
178,TRUE,FALSE
179,FALSE,FALSE
180,TRUE,TRUE
181,TRUE,FALSE
184,FALSE,FALSE
186,FALSE,FALSE
188,FALSE,FALSE
191,TRUE,TRUE
193,FALSE,FALSE
196,TRUE,TRUE
197,FALSE,FALSE
198,TRUE,TRUE
199,FALSE,FALSE
200,TRUE,TRUE
201,FALSE,FALSE
202,TRUE,TRUE
205,TRUE,FALSE
206,FALSE,FALSE
207,FALSE,FALSE
210,TRUE,FALSE
211,TRUE,TRUE
221,FALSE,FALSE
225,FALSE,FALSE
232,FALSE,FALSE
299,TRUE,TRUE
305,FALSE,FALSE
317,FALSE,FALSE
318,TRUE,TRUE
319,TRUE,TRUE
323,FALSE,FALSE
324,FALSE,FALSE
326,FALSE,FALSE
327,FALSE,FALSE
329,TRUE,FALSE
332,TRUE,TRUE
333,FALSE,FALSE
337,TRUE,TRUE
338,TRUE,TRUE
340,FALSE,FALSE
343,TRUE,TRUE
345,FALSE,FALSE
347,FALSE,FALSE
348,TRUE,FALSE
350,TRUE,TRUE
352,TRUE,TRUE
354,TRUE,TRUE
356,TRUE,TRUE
357,TRUE,TRUE
